Débitos,Fabricante,Modelo,Ano,Categoria,Couro,Combustivel,Volume_motor,Km,Cilindros,Tipo_cambio,Tração,Portas,Cor,Airbags,Preco,Numero_proprietarios,Data_ultima_lavagem,Adesivos_personalizados,Radio_AM_FM,Historico_troca_oleo,Idade,Km_por_ano,Dias_desde_ultima_lavagem,Km_imputado
0.0,BMW,X5,2005,SUV,Sim,Diesel,3.0,330000.0,6,Tiptronic,4x4,4-5,Cinza,12,19.0,1,2022-03-14,Não,AM/FM,2,18,18333.333333333332,293,0
0.0,HONDA,FIT,2005,Hatchback,Nao,Gasolina,1.3,187000.0,4,Automatico,Dianteira,4-5,Prata,4,20.0,2,2020-09-21,Não,AM,1,18,10388.888888888889,832,0
0.0,NISSAN,Tiida,2005,Hatchback,Sim,Gasolina,1.5,146000.0,4,Automatico,Dianteira,4-5,Preto,7,20.0,2,2020-02-13,Não,AM/FM,3,18,8111.111111111111,1053,0
0.0,HONDA,FIT,2003,Hatchback,Nao,Gasolina,1.3,157000.0,4,Automatico,Dianteira,4-5,Vermelho,4,20.0,1,2022-05-19,Não,AM/FM,5,20,7850.0,227,0
0.0,TOYOTA,Prius,2012,Sedan,Sim,Híbrido,1.6,159419.29316111488,4,Variator,Dianteira,4-5,Branco,10,20.0,2,2020-07-12,Sim,FM,2,11,14492.663014646807,903,1
0.0,TOYOTA,Prius,2007,Hatchback,Nao,Híbrido,1.5,200000.0,4,Automatico,Dianteira,4-5,Branco,4,25.0,3,2022-08-28,Sim,AM/FM,9,16,12500.0,126,0
0.0,HONDA,Insight,2011,Hatchback,Nao,Híbrido,1.3,160000.0,4,Automatico,Dianteira,4-5,Branco,4,25.0,4,2020-07-17,Não,FM,7,12,13333.333333333334,898,0
0.0,TOYOTA,Prius,2011,Hatchback,Sim,Híbrido,1.8,163787.12056606816,4,Automatico,Dianteira,4-5,Branco,12,25.0,4,2020-06-30,Não,AM,10,12,13648.926713839013,915,1
0.0,HONDA,FIT,2006,Hatchback,Nao,Gasolina,1.3,165829.25535076958,4,Automatico,Dianteira,4-5,Branco,4,25.0,5,2020-07-28,Não,FM,8,17,9754.662079457034,887,1
0.0,TOYOTA,RAV 4,2012,SUV,Sim,Diesel,2.2,120000.0,4,Manual,4x4,4-5,Branco,13,25.0,2,2021-09-01,Não,FM,6,11,10909.09090909091,487,0
0.0,NISSAN,Note,2005,Hatchback,Nao,Gasolina,1.5,153609.77332787585,4,Automatico,4x4,4-5,Verde,6,25.0,2,2021-06-18,Sim,AM,0,18,8533.876295993103,562,1
0.0,NISSAN,Note,2005,Hatchback,Nao,Gasolina,1.5,145000.0,4,Automatico,Dianteira,4-5,Verde,4,25.0,2,2022-02-08,Sim,FM,8,18,8055.555555555556,327,0
0.0,HONDA,FIT,2003,Hatchback,Nao,Gasolina,1.5,189000.0,4,Tiptronic,Dianteira,4-5,Azul,4,25.0,2,2022-08-12,Sim,AM,3,20,9450.0,142,0
0.0,HONDA,FIT,2003,Hatchback,Nao,Gasolina,1.5,168851.3920739932,4,Automatico,Dianteira,4-5,Prata,4,30.0,5,2020-07-21,Sim,AM/FM,0,20,8442.56960369966,894,1
0.0,HONDA,FIT,2006,Hatchback,Nao,Gasolina,1.3,156913.41226426553,4,Automatico,Dianteira,4-5,Preto,4,30.0,3,2021-05-04,Não,AM,4,17,9230.200721427384,607,1
0.0,HONDA,FIT,2003,Hatchback,Nao,Gasolina,1.3,162093.3132512904,4,Automatico,Dianteira,4-5,Vermelho,4,30.0,3,2021-09-08,Não,AM/FM,1,20,8104.665662564521,480,1
0.0,TOYOTA,Prius,2008,Hatchback,Nao,Híbrido,1.5,100000.0,4,Variator,Dianteira,4-5,Branco,8,30.0,5,2021-11-16,Não,FM,10,15,6666.666666666667,411,0
0.0,HONDA,FIT,2005,Hatchback,Nao,Gasolina,1.3,145001.93825653914,4,Automatico,Dianteira,4-5,Cinza,4,30.0,5,2022-02-26,Sim,AM,0,18,8055.663236474396,309,1
0.0,HONDA,FIT,2006,Hatchback,Nao,Gasolina,1.3,159207.33770077274,4,Automatico,Dianteira,4-5,Prata,4,30.0,2,2020-12-19,Não,FM,8,17,9365.13751181016,743,1
0.0,NISSAN,Tiida,2006,Hatchback,Nao,Gasolina,1.5,147947.2439809019,4,Automatico,Dianteira,4-5,Preto,4,30.0,5,2021-06-26,Sim,AM/FM,7,17,8702.779057700112,554,1
0.0,HONDA,FIT,2005,Hatchback,Nao,Gasolina,1.3,162844.82243245267,4,Automatico,Dianteira,4-5,Prata,4,30.0,4,2020-02-04,Não,AM/FM,8,18,9046.934579580704,1062,1
0.0,TOYOTA,Prius,2007,Sedan,Nao,Híbrido,1.5,18000.0,4,Variator,Dianteira,4-5,Branco,0,30.0,3,2020-05-10,Sim,AM,8,16,1125.0,966,0
0.0,HONDA,FIT,2004,Hatchback,Nao,Gasolina,1.3,150000.0,4,Automatico,Dianteira,4-5,Prata,4,30.0,5,2021-12-10,Não,AM,4,19,7894.736842105263,387,0
0.0,HONDA,FIT,2006,Hatchback,Nao,Gasolina,1.3,159493.40992194702,4,Automatico,Dianteira,4-5,Prata,4,30.0,3,2021-05-19,Sim,FM,9,17,9381.965289526295,592,1
0.0,HONDA,FIT,2006,Hatchback,Nao,Gasolina,1.3,155566.227753924,4,Automatico,Dianteira,4-5,Prata,4,30.0,3,2022-11-28,Não,FM,5,17,9150.954573760235,34,1
0.0,HONDA,FIT,2002,Hatchback,Nao,Gasolina,1.3,155848.41797618836,4,Automatico,Dianteira,4-5,Prata,4,30.0,2,2021-06-28,Sim,AM/FM,0,21,7421.35323696135,552,1
0.0,TOYOTA,Prius,2007,Sedan,Nao,Híbrido,1.5,183300.00217335255,4,Automatico,Dianteira,4-5,Branco,0,30.0,2,2022-03-17,Não,AM,10,16,11456.250135834534,290,1
0.0,HONDA,FIT,2006,Hatchback,Nao,Gasolina,1.3,155612.43960968422,4,Automatico,Dianteira,4-5,Prata,4,30.0,5,2020-05-02,Não,AM,1,17,9153.672918216718,974,1
0.0,HONDA,FIT,2005,Hatchback,Nao,Gasolina,1.3,155387.15716669534,4,Automatico,Dianteira,4-5,Prata,4,30.0,5,2021-09-10,Sim,FM,3,18,8632.619842594186,478,1
0.0,HONDA,FIT,2004,Hatchback,Nao,Gasolina,1.3,150000.0,4,Automatico,Dianteira,4-5,Prata,4,30.0,3,2020-01-06,Sim,AM,0,19,7894.736842105263,1091,0
0.0,TOYOTA,Prius prius,2008,Sedan,Nao,Gasolina,1.8,220000.0,4,Automatico,Dianteira,4-5,Branco,8,30.0,2,2020-03-14,Sim,AM/FM,2,15,14666.666666666666,1023,0
0.0,HONDA,FIT,2005,Hatchback,Nao,Gasolina,1.3,170957.32623767707,4,Automatico,Dianteira,4-5,Branco,4,30.0,3,2020-01-16,Sim,FM,5,18,9497.629235426504,1081,1
0.0,NISSAN,Note,2005,Hatchback,Nao,Gasolina,1.5,117000.0,4,Variator,Dianteira,4-5,Vermelho,4,30.0,2,2022-06-15,Sim,FM,1,18,6500.0,200,0
0.0,HONDA,FIT,2004,Hatchback,Nao,Gasolina,1.3,150000.0,4,Automatico,Dianteira,4-5,Prata,4,30.0,2,2022-08-01,Sim,AM,7,19,7894.736842105263,153,0
0.0,HONDA,FIT,2007,Hatchback,Nao,Gasolina,1.3,151140.670215917,4,Automatico,Dianteira,4-5,Prata,4,30.0,5,2021-06-10,Não,AM,1,16,9446.291888494812,570,1
0.0,TOYOTA,Prius,2008,Sedan,Sim,Híbrido,1.6,45888.0,4,Automatico,Dianteira,4-5,Branco,12,30.0,1,2022-12-04,Não,FM,2,15,3059.2,28,0
0.0,TOYOTA,Prius,2009,Sedan,Sim,Híbrido,1.5,200000.0,4,Automatico,Dianteira,4-5,Branco,6,30.0,2,2020-06-06,Não,AM,0,14,14285.714285714286,939,0
0.0,TOYOTA,Prius,2008,Sedan,Nao,Híbrido,1.5,211200.0,4,Automatico,Dianteira,4-5,Branco,8,30.0,3,2020-10-04,Não,FM,4,15,14080.0,819,0
0.0,NISSAN,Note,2005,Hatchback,Nao,Gasolina,1.5,156000.0,4,Automatico,Dianteira,4-5,Verde,4,30.0,1,2022-10-30,Sim,FM,2,18,8666.666666666666,63,0
0.0,HONDA,FIT,2010,Hatchback,Nao,Gasolina,1.3,137699.42595139824,4,Automatico,Dianteira,4-5,Prata,4,30.0,5,2022-05-11,Não,FM,1,13,10592.26353472294,235,1
0.0,OPEL,Astra,1998,Hatchback,Nao,Gasolina,1.8,200000.0,4,Manual,4x4,4-5,Preto,12,30.0,5,2021-05-21,Não,AM,0,25,8000.0,590,0
0.0,NISSAN,Note,2005,Hatchback,Nao,Gasolina,1.5,178000.0,4,Automatico,Dianteira,4-5,Cinza,4,30.0,2,2022-11-13,Não,AM/FM,6,18,9888.888888888889,49,0
0.0,HONDA,FIT,2003,Hatchback,Nao,Gasolina,1.3,169373.9413136993,4,Automatico,Dianteira,4-5,Prata,4,30.0,2,2021-06-27,Sim,AM,4,20,8468.697065684964,553,1
0.0,NISSAN,Note,2005,Hatchback,Nao,Gasolina,1.5,147901.59063897227,4,Automatico,Dianteira,4-5,Branco,4,30.0,5,2022-10-24,Sim,AM,4,18,8216.75503549846,69,1
0.0,HONDA,FIT,2004,Hatchback,Nao,Gasolina,1.3,25000.0,6,Automatico,Dianteira,4-5,Prata,0,30.0,1,2020-11-17,Não,FM,4,19,1315.7894736842106,775,0
0.0,NISSAN,Tiida,2005,Hatchback,Nao,Gasolina,1.3,158600.4681483018,4,Automatico,Dianteira,4-5,Prata,4,30.0,5,2020-01-23,Não,FM,0,18,8811.1371193501,1074,1
843.0,TOYOTA,Prius,2008,Hatchback,Sim,Híbrido,1.5,178426.62942482677,4,Automatico,Dianteira,4-5,Preto,2,30.0,1,2020-09-18,Sim,AM,4,15,11895.108628321785,835,1
0.0,TOYOTA,Prius,2007,Sedan,Nao,Híbrido,1.5,193833.70370073,4,Automatico,Dianteira,4-5,Branco,12,30.0,5,2020-08-07,Não,AM,10,16,12114.606481295625,877,1
0.0,HONDA,FIT,2005,Hatchback,Nao,Gasolina,1.3,178000.0,4,Automatico,Dianteira,4-5,Preto,5,30.0,5,2021-06-20,Não,AM,4,18,9888.888888888889,560,0
0.0,NISSAN,Note,2005,Hatchback,Sim,Gasolina,1.5,138000.0,4,Automatico,Dianteira,4-5,Cinza,4,30.0,4,2020-05-17,Não,AM,7,18,7666.666666666667,959,0
0.0,TOYOTA,Prius,2009,Hatchback,Sim,Híbrido,1.5,161312.07747018134,4,Variator,Dianteira,4-5,Azul,12,30.0,1,2022-09-10,Sim,FM,9,14,11522.291247870095,113,1
0.0,NISSAN,Tiida,2006,Hatchback,Nao,Gasolina,1.5,136774.69849093322,4,Automatico,Dianteira,4-5,Preto,4,30.0,2,2020-08-30,Não,AM,3,17,8045.57049946666,854,1
0.0,NISSAN,Note,2005,Hatchback,Nao,Gasolina,1.5,156000.0,4,Automatico,Dianteira,4-5,Verde,4,30.0,1,2022-05-24,Sim,FM,5,18,8666.666666666666,222,0
0.0,HONDA,FIT,2005,Hatchback,Nao,Gasolina,1.3,165060.74821768183,4,Automatico,Dianteira,4-5,Prata,4,30.0,2,2020-07-03,Não,AM,2,18,9170.04156764899,912,1
0.0,NISSAN,Tiida,2005,Hatchback,Nao,Gasolina,1.8,155147.8292543301,4,Automatico,Dianteira,4-5,Bege,4,30.0,5,2022-03-09,Não,AM,9,18,8619.323847462783,298,1
1113.0,MAZDA,CX-9,2012,Sedan,Sim,Gasolina,3.7,291840.0,6,Automatico,Dianteira,4-5,Preto,12,31.0,4,2022-01-02,Não,AM/FM,6,11,26530.909090909092,364,0
765.0,LEXUS,NX 200,2015,SUV,Sim,Gasolina,2.0,76021.0,4,Automatico,Dianteira,4-5,Preto,12,31.0,4,2021-10-26,Não,AM/FM,5,8,9502.625,432,0
1113.0,MAZDA,CX-9,2012,Sedan,Sim,Gasolina,3.7,291840.0,6,Automatico,Dianteira,4-5,Preto,12,31.0,2,2022-01-20,Sim,AM/FM,10,11,26530.909090909092,346,0
353.0,LEXUS,CT 200h,2015,Hatchback,Sim,Híbrido,1.8,102594.68950560926,4,Automatico,Dianteira,4-5,Cinza,0,31.0,1,2022-10-12,Sim,FM,1,8,12824.336188201158,81,1
353.0,LEXUS,CT 200h,2015,Hatchback,Sim,Híbrido,1.8,104472.94821447607,4,Automatico,Dianteira,4-5,Cinza,0,31.0,2,2020-09-13,Não,AM/FM,7,8,13059.118526809509,840,1
490.0,HONDA,Insight,2011,Hatchback,Sim,Híbrido,1.3,198891.0,4,Automatico,Dianteira,4-5,Cinza,0,31.0,2,2022-09-17,Não,FM,6,12,16574.25,106,0
490.0,HONDA,Insight,2011,Hatchback,Sim,Híbrido,1.3,198891.0,4,Automatico,Dianteira,4-5,Cinza,0,31.0,2,2021-01-28,Sim,AM/FM,0,12,16574.25,703,0
2308.0,HUMMER,H3,2007,SUV,Nao,Gasolina,3.7,185000.0,5,Tiptronic,4x4,4-5,Bege,12,33.0,2,2021-08-04,Sim,AM/FM,7,16,11562.5,515,0
0.0,TOYOTA,Sai,2005,Hatchback,Nao,Gasolina,1.3,134000.0,4,Automatico,Dianteira,4-5,Branco,6,34.0,3,2021-07-16,Não,AM,10,18,7444.444444444444,534,0
0.0,TOYOTA,Prius,2010,Sedan,Nao,Gasolina,1.6,240000.0,2,Automatico,Dianteira,4-5,Branco,2,35.0,4,2020-01-31,Não,FM,1,13,18461.53846153846,1066,0
0.0,TOYOTA,Prius,2007,Hatchback,Nao,Gás Natural,1.5,160418.26281463137,4,Automatico,Dianteira,4-5,Branco,4,35.0,5,2022-12-19,Sim,FM,4,16,10026.14142591446,13,1
0.0,TOYOTA,Prius,2008,Sedan,Nao,Híbrido,1.5,172000.0,4,Automatico,Dianteira,4-5,Branco,8,35.0,1,2021-07-14,Não,AM,7,15,11466.666666666666,536,0
0.0,TOYOTA,Prius,2010,Sedan,Sim,Híbrido,1.5,175090.5272183306,4,Automatico,Dianteira,4-5,Branco,0,35.0,3,2020-08-23,Não,FM,3,13,13468.502093717738,861,1
0.0,TOYOTA,Prius,2014,Sedan,Nao,Híbrido,1.8,160960.0,4,Variator,Dianteira,4-5,Branco,0,35.0,5,2021-09-18,Sim,FM,10,9,17884.444444444445,470,0
0.0,TOYOTA,Mark X Zio,2005,Sedan,Sim,Gasolina,1.5,160173.41844616694,4,Automatico,Dianteira,4-5,Branco,4,35.0,1,2022-02-22,Sim,FM,10,18,8898.523247009274,313,1
0.0,FORD,Escape,2007,SUV,Nao,Híbrido,2.3,176006.74104239128,4,Automatico,4x4,4-5,Branco,8,36.0,5,2021-03-10,Não,AM/FM,7,16,11000.421315149455,662,1
0.0,HONDA,FIT,2007,Hatchback,Nao,Gasolina,1.3,170000.0,4,Automatico,Dianteira,>5,Branco,0,40.0,4,2020-06-04,Sim,AM,7,16,10625.0,941,0
0.0,NISSAN,Note,2008,Hatchback,Nao,Gasolina,1.5,100000.0,4,Automatico,4x4,4-5,Prata,4,40.0,2,2022-08-02,Sim,AM,5,15,6666.666666666667,152,0
0.0,HONDA,FIT,2006,Hatchback,Nao,Gasolina,1.4,144742.2665469366,4,Variator,Dianteira,4-5,Branco,4,40.0,2,2022-03-05,Sim,AM/FM,5,17,8514.250973349212,302,1
0.0,HONDA,FIT,2004,Hatchback,Nao,Gasolina,1.3,160000.0,4,Variator,Dianteira,4-5,Branco,2,40.0,5,2021-08-25,Sim,AM/FM,1,19,8421.052631578947,494,0
0.0,HONDA,FIT,2002,Hatchback,Nao,Gasolina,1.3,170000.0,5,Automatico,Dianteira,>5,Cinza,0,40.0,1,2022-12-11,Sim,AM/FM,3,21,8095.238095238095,21,0
0.0,HONDA,FIT,2003,Hatchback,Nao,Gasolina,1.3,120000.0,4,Variator,Dianteira,4-5,Bege,0,40.0,3,2021-12-05,Sim,AM/FM,2,20,6000.0,392,0
0.0,TOYOTA,Prius,2010,Sedan,Nao,Híbrido,1.8,171230.46247077006,4,Automatico,Dianteira,4-5,Branco,0,40.0,3,2021-10-21,Sim,AM,6,13,13171.574036213082,437,1
0.0,HONDA,FIT,2007,Hatchback,Sim,Gasolina,1.6,155023.6085107703,7,Automatico,Dianteira,4-5,Azul,9,40.0,2,2022-05-27,Sim,FM,6,16,9688.975531923144,219,1
0.0,TOYOTA,Prius,2014,Hatchback,Nao,Híbrido,1.8,105000.0,4,Automatico,Dianteira,4-5,Branco,0,40.0,3,2020-04-24,Sim,AM/FM,5,9,11666.666666666666,982,0
0.0,HONDA,FIT,2003,Sedan,Nao,Gasolina,1.5,145000.0,4,Automatico,Dianteira,4-5,Branco,2,40.0,4,2020-02-24,Sim,FM,2,20,7250.0,1042,0
0.0,HONDA,FIT,2003,Hatchback,Nao,Gasolina,1.3,140000.0,4,Automatico,Dianteira,4-5,Cinza,0,40.0,1,2022-08-13,Não,AM,2,20,7000.0,141,0
0.0,VOLKSWAGEN,Golf GTI,1993,Sedan,Nao,Gasolina,2.0,235995.28842892035,4,Manual,Dianteira,4-5,Roxo,2,40.0,1,2021-06-21,Não,FM,10,30,7866.509614297345,559,1
0.0,HONDA,FIT,2005,Hatchback,Nao,Gasolina,1.3,143000.0,4,Variator,Dianteira,4-5,Vermelho,2,40.0,5,2020-09-08,Sim,FM,4,18,7944.444444444444,845,0
0.0,TOYOTA,Prius,2008,Sedan,Sim,Híbrido,1.5,198040.51008164178,6,Automatico,Dianteira,4-5,Preto,6,40.0,4,2020-04-07,Não,AM/FM,2,15,13202.700672109453,999,1
0.0,HONDA,FIT,2002,Hatchback,Nao,Gasolina,1.5,245000.0,4,Automatico,Dianteira,4-5,Azul,0,40.0,2,2022-02-07,Sim,FM,0,21,11666.666666666666,328,0
0.0,TOYOTA,Prius,2013,Sedan,Sim,Híbrido,1.8,130481.01185451627,4,Automatico,Traseira,4-5,Branco,4,45.0,4,2020-01-02,Não,FM,9,10,13048.101185451627,1095,1
0.0,HONDA,FIT,2006,Hatchback,Nao,Gasolina,1.3,127000.0,4,Automatico,Dianteira,4-5,Preto,5,45.0,3,2020-11-24,Sim,FM,0,17,7470.588235294118,768,0
0.0,TOYOTA,Prius,2012,Hatchback,Nao,Híbrido,1.8,100000.0,4,Automatico,Dianteira,4-5,Branco,12,45.0,4,2021-04-30,Não,FM,2,11,9090.90909090909,611,0
0.0,HONDA,FIT,2007,Hatchback,Nao,Gasolina,1.3,124000.0,4,Automatico,Dianteira,4-5,Azul,4,45.0,4,2020-12-11,Não,AM,3,16,7750.0,751,0
1493.0,LEXUS,RX 350,2016,SUV,Sim,Gasolina,3.5,65981.0,6,Automatico,Dianteira,4-5,Preto,12,47.0,4,2020-08-21,Sim,FM,1,7,9425.857142857143,863,0
1493.0,LEXUS,RX 350,2016,SUV,Sim,Gasolina,3.5,65981.0,6,Automatico,Dianteira,4-5,Preto,12,47.0,1,2020-07-29,Não,FM,8,7,9425.857142857143,886,0
1017.0,MERCEDES-BENZ,GLA 250,2017,SUV,Sim,Gasolina,2.0,52524.03196342689,4,Automatico,Dianteira,4-5,Prata,0,47.0,2,2022-01-04,Sim,FM,7,6,8754.005327237815,362,1
1493.0,LEXUS,RX 350,2016,SUV,Sim,Gasolina,3.5,68071.36618003197,6,Automatico,Dianteira,4-5,Preto,12,47.0,3,2022-08-11,Sim,AM/FM,0,7,9724.48088286171,143,1
753.0,HYUNDAI,Sonata,2012,Sedan,Sim,Gasolina,2.4,155658.48858648769,4,Automatico,Dianteira,4-5,Azul,12,47.0,2,2022-04-03,Não,AM/FM,0,11,14150.771689680698,273,1
1493.0,LEXUS,RX 350,2016,SUV,Sim,Gasolina,3.5,65981.0,6,Automatico,Dianteira,4-5,Preto,12,47.0,5,2022-05-04,Não,AM/FM,9,7,9425.857142857143,242,0
0.0,TOYOTA,ISIS,2007,Minivan,Nao,Gasolina,2.0,250000.0,4,Tiptronic,Dianteira,4-5,Branco,2,50.0,4,2020-09-11,Sim,AM,10,16,15625.0,842,0
0.0,HONDA,Insight,2009,Hatchback,Nao,Híbrido,1.3,141000.0,6,Automatico,Traseira,4-5,Cinza,6,50.0,1,2022-10-28,Sim,AM/FM,1,14,10071.42857142857,65,0
0.0,BMW,318,2003,Cupê,Nao,Gasolina,1.8,220000.0,4,Tiptronic,Traseira,2-3,Prata,8,50.0,5,2022-04-30,Sim,FM,8,20,11000.0,246,0
0.0,TOYOTA,Prius,2008,Hatchback,Nao,Híbrido,1.5,150000.0,4,Automatico,Dianteira,4-5,Prata,6,50.0,2,2022-09-12,Não,FM,8,15,10000.0,111,0
0.0,TOYOTA,Prius,2009,Hatchback,Sim,Híbrido,1.5,170000.0,4,Automatico,Dianteira,4-5,Preto,0,50.0,3,2022-05-25,Não,AM,0,14,12142.857142857143,221,0
0.0,HONDA,FIT,2007,Sedan,Sim,Gasolina,1.3,153362.6229709001,4,Variator,Dianteira,4-5,Azul,4,50.0,2,2022-12-17,Sim,AM,6,16,9585.163935681256,15,1
0.0,MITSUBISHI,Pajero IO,2002,SUV,Nao,Gasolina,2.0,215000.0,4,Automatico,4x4,4-5,Branco,4,50.0,2,2021-01-19,Sim,FM,4,21,10238.095238095239,712,0
0.0,TOYOTA,Prius,2011,Sedan,Nao,Híbrido,1.8,180000.0,4,Tiptronic,Dianteira,4-5,Cinza,8,50.0,3,2022-08-21,Sim,AM,3,12,15000.0,133,0
0.0,TOYOTA,Aqua,2013,Hatchback,Nao,Híbrido,1.5,120000.0,4,Automatico,Dianteira,4-5,Prata,4,50.0,5,2021-01-29,Sim,AM,9,10,12000.0,702,0
0.0,HONDA,FIT,2005,Hatchback,Nao,Gasolina,1.3,150000.0,4,Automatico,Dianteira,4-5,Prata,2,50.0,1,2020-03-04,Não,AM/FM,0,18,8333.333333333334,1033,0
0.0,TOYOTA,Aqua S,2014,Hatchback,Sim,Híbrido,1.5,127000.0,4,Automatico,Dianteira,4-5,Cinza,7,50.0,2,2020-06-08,Sim,FM,8,9,14111.111111111111,937,0
0.0,TOYOTA,Aqua,2013,Hatchback,Nao,Híbrido,1.3,120000.0,4,Automatico,Dianteira,4-5,Branco,8,50.0,2,2021-06-07,Sim,AM/FM,5,10,12000.0,573,0
0.0,TOYOTA,Prius,2012,Hatchback,Nao,Híbrido,1.8,120000.0,4,Automatico,Dianteira,4-5,Branco,8,50.0,4,2020-07-30,Sim,FM,1,11,10909.09090909091,885,0
0.0,TOYOTA,Prius,2009,Hatchback,Sim,Híbrido,1.5,200000.0,4,Automatico,Dianteira,4-5,Preto,10,50.0,1,2022-04-23,Sim,FM,9,14,14285.714285714286,253,0
0.0,TOYOTA,Aqua,2014,Sedan,Sim,Híbrido,1.5,10000.0,4,Automatico,Dianteira,4-5,Prata,4,50.0,5,2022-12-09,Não,AM/FM,1,9,1111.111111111111,23,0
0.0,TOYOTA,Prius,2011,Hatchback,Nao,Híbrido,1.8,155277.18643705788,4,Automatico,Dianteira,4-5,Branco,6,50.0,3,2022-08-27,Sim,AM,6,12,12939.76553642149,127,1
0.0,TOYOTA,Aqua,2012,Sedan,Nao,Híbrido,1.5,150000.0,2,Automatico,Traseira,4-5,Azul,0,50.0,3,2021-01-22,Não,FM,6,11,13636.363636363636,709,0
0.0,TOYOTA,Prius,2007,Sedan,Nao,Gasolina,1.5,200000.0,4,Variator,Dianteira,4-5,Prata,9,50.0,4,2020-07-01,Sim,AM/FM,2,16,12500.0,914,0
0.0,TOYOTA,Aqua,2014,Sedan,Nao,Híbrido,1.5,120000.0,4,Automatico,Dianteira,4-5,Azul,0,50.0,2,2022-01-26,Não,AM/FM,1,9,13333.333333333334,340,0
0.0,HONDA,Insight,2011,Sedan,Nao,Híbrido,1.3,95000.0,4,Automatico,Dianteira,4-5,Vermelho,0,50.0,4,2021-06-03,Não,AM/FM,0,12,7916.666666666667,577,0
0.0,TOYOTA,Prius,2008,Hatchback,Sim,Híbrido,1.5,111000.0,4,Automatico,Dianteira,4-5,Preto,6,50.0,3,2020-09-04,Não,AM,8,15,7400.0,849,0
0.0,HYUNDAI,Accent,2012,Sedan,Nao,Gasolina,1.4,150000.0,4,Manual,Dianteira,4-5,Prata,8,60.0,3,2021-04-01,Não,FM,3,11,13636.363636363636,640,0
0.0,BMW,330,2007,Cupê,Sim,Gasolina,3.0,157800.0,8,Tiptronic,4x4,2-3,Prata,8,60.0,5,2021-06-17,Sim,AM/FM,0,16,9862.5,563,0
0.0,TOYOTA,VOXY,2005,Minivan,Nao,Gasolina,2.0,232000.0,4,Automatico,4x4,4-5,Dourado,4,60.0,3,2021-06-18,Sim,AM/FM,6,18,12888.888888888889,562,0
0.0,TOYOTA,Prius,2009,Sedan,Nao,Híbrido,1.5,156746.28680223436,2,Automatico,Dianteira,4-5,Branco,2,60.0,4,2022-09-04,Sim,AM,5,14,11196.16334301674,119,1
0.0,TOYOTA,Prius,2012,Hatchback,Sim,Híbrido,1.8,100000.0,4,Automatico,Dianteira,4-5,Prata,12,60.0,3,2020-11-30,Sim,AM,3,11,9090.90909090909,762,0
0.0,TOYOTA,Prius,2013,Sedan,Nao,Híbrido,1.8,150000.0,4,Automatico,Dianteira,4-5,Branco,8,60.0,1,2020-07-23,Sim,AM,5,10,15000.0,892,0
