Preco,Preco_Predito,Erro,Erro_Absoluto
16935,19427,-2492,2492
19444,24822,-5378,5378
,10411,,
18033,15322,2711,2711
470,1081,-611,611
627,3540,-2913,2913
297930,136950,160980,160980
5645,3381,2264,2264
11917,11049,868,868
31211,35551,-4340,4340
9095,8052,1043,1043
11864,13740,-1876,1876
392,5159,-4767,4767
2352,7680,-5328,5328
15681,11803,3878,3878
9879,16705,-6826,6826
5802,7109,-1307,1307
15681,25504,-9823,9823
3607,3143,464,464
,9990,,
49751,62576,-12825,12825
13172,12745,427,427
27598,27589,9,9
9408,9460,-52,52
8467,12327,-3860,3860
11290,13830,-2540,2540
16308,18172,-1864,1864
25089,20518,4571,4571
941,7384,-6443,6443
14740,16427,-1687,1687
,10066,,
1568,11001,-9433,9433
17249,16318,931,931
40769,12996,27773,27773
392,1422,-1030,1030
10506,8365,2141,2141
9198,16569,-7371,7371
3293,1564,1729,1729
20385,17579,2806,2806
29552,26491,3061,3061
24148,19223,4925,4925
19287,24408,-5121,5121
41720,44011,-2291,2291
17562,18318,-756,756
98787,77301,21486,21486
23687,30866,-7179,7179
15718,14477,1241,1241
784,1873,-1089,1089
25,3371,-3346,3346
18503,16174,2329,2329
15367,10738,4629,4629
25889,20466,5423,5423
16621,15590,1031,1031
34240,33168,1072,1072
13485,10655,2830,2830
470,4387,-3917,3917
941,12744,-11803,11803
20385,15797,4588,4588
37125,36277,848,848
13485,18260,-4775,4775
392,3155,-2763,2763
30966,19019,11947,11947
49751,41689,8062,8062
13172,15856,-2684,2684
15681,12027,3654,3654
6899,5539,1360,1360
15053,46894,-31841,31841
627,3483,-2856,2856
627,2533,-1906,1906
5331,5355,-24,24
,13992,,
549,4714,-4165,4165
5645,5568,77,77
20698,12544,8154,8154
1254,4802,-3548,3548
12432,15989,-3557,3557
10976,9076,1900,1900
25889,22874,3015,3015
3136,6267,-3131,3131
10945,15112,-4167,4167
51746,33726,18020,18020
25089,23210,1879,1879
,41853,,
6583,8051,-1468,1468
392,2359,-1967,1967
22580,36813,-14233,14233
24775,25666,-891,891
51746,77504,-25758,25758
392,1524,-1132,1132
18211,19649,-1438,1438
8311,12913,-4602,4602
54568,38169,16399,16399
251,7938,-7687,7687
29479,2793,26686,26686
10976,9977,999,999
3293,2475,818,818
627,3023,-2396,2396
26030,34019,-7989,7989
251,6500,-6249,6249
6899,6648,251,251
14113,13561,552,552
627,4943,-4316,4316
,13880,,
7840,12219,-4379,4379
5488,5688,-200,200
59586,83397,-23811,23811
6586,5864,722,722
21482,14787,6695,6695
16621,16226,395,395
10349,11970,-1621,1621
4704,6116,-1412,1412
250,53744,-53494,53494
3763,4166,-403,403
21326,20664,662,662
20266,18574,1692,1692
57108,53614,3494,3494
27598,11386,16212,16212
2744,4609,-1865,1865
10036,9596,440,440
5018,6522,-1504,1504
11604,12333,-729,729
78,3882,-3804,3804
6429,12072,-5643,5643
16621,8329,8292,8292
17634,23147,-5513,5513
17562,17586,-24,24
7840,8109,-269,269
9252,16155,-6903,6903
5331,7325,-1994,1994
7527,5062,2465,2465
627,11002,-10375,10375
8467,7733,734,734
706,1920,-1214,1214
28225,23705,4520,4520
13771,9972,3799,3799
1490,1116,374,374
120,12799,-12679,12679
7213,8892,-1679,1679
17876,18347,-471,471
2979,4000,-1021,1021
6899,6614,285,285
20385,19577,808,808
282,349,-67,67
38445,37925,520,520
26030,12248,13782,13782
5018,14639,-9621,9621
43360,69857,-26497,26497
43278,29936,13342,13342
125,4539,-4414,4414
45044,45355,-311,311
,4536,,
46919,67727,-20808,20808
627,1048,-421,421
19707,17556,2151,2151
19130,16243,2887,2887
33556,32575,981,981
18503,17081,1422,1422
42692,32624,10068,10068
44849,27839,17010,17010
6586,6324,262,262
50,16750,-16700,16700
34497,36346,-1849,1849
41055,44899,-3844,3844
1019,3743,-2724,2724
8154,12065,-3911,3911
220,2039,-1819,1819
23521,18773,4748,4748
25873,32244,-6371,6371
17249,11177,6072,6072
,18266,,
22567,17358,5209,5209
10349,7448,2901,2901
22580,33887,-11307,11307
15850,19499,-3649,3649
31245,22499,8746,8746
,17833,,
10036,5693,4343,4343
11604,13937,-2333,2333
8467,8563,-96,96
314,2443,-2129,2129
40,6177,-6137,6137
20385,16503,3882,3882
3450,2275,1175,1175
392,2336,-1944,1944
45204,48347,-3143,3143
22894,22651,243,243
1333,6563,-5230,5230
59827,51335,8492,8492
8938,3465,5473,5473
7527,2913,4614,4614
18189,19266,-1077,1077
26657,27527,-870,870
1333,4073,-2740,2740
18826,1148,17678,17678
31047,83208,-52161,52161
18817,10831,7986,7986
5802,8521,-2719,2719
6115,2937,3178,3178
5331,9564,-4233,4233
16308,20842,-4534,4534
5331,11425,-6094,6094
19444,19496,-52,52
12544,13054,-510,510
,7183,,
314,1537,-1223,1223
19657,20857,-1200,1200
2195,2196,-1,1
1568,2562,-994,994
11917,16065,-4148,4148
7056,5064,1992,1992
50178,38825,11353,11353
706,3603,-2897,2897
18481,23192,-4711,4711
25089,11765,13324,13324
314,4935,-4621,4621
92070,77824,14246,14246
25089,18874,6215,6215
17249,17728,-479,479
39201,36230,2971,2971
18817,15221,3596,3596
9377,7270,2107,2107
627,2263,-1636,1636
941,2726,-1785,1785
7213,8987,-1774,1774
,40175,,
24462,22861,1601,1601
15681,7225,8456,8456
13485,16765,-3280,3280
7840,6979,861,861
20385,17166,3219,3219
,22238,,
,8289,,
314,5025,-4711,4711
470,1986,-1516,1516
39201,64433,-25232,25232
46919,40928,5991,5991
9095,8800,295,295
58971,29666,29305,29305
14113,8567,5546,5546
314,3211,-2897,2897
470,2638,-2168,2168
19089,20453,-1364,1364
27356,22978,4378,4378
40362,40513,-151,151
784,2745,-1961,1961
35570,40742,-5172,5172
14426,12991,1435,1435
18817,15165,3652,3652
5959,10205,-4246,4246
13485,15003,-1518,1518
16778,18073,-1295,1295
19757,17797,1960,1960
251,5729,-5478,5478
862,879,-17,17
8624,7025,1599,1599
14269,10088,4181,4181
10036,10779,-743,743
5802,5158,644,644
7527,6632,895,895
,18012,,
20005,18217,1788,1788
6617,9452,-2835,2835
11604,10173,1431,1431
17405,20465,-3060,3060
34811,31371,3440,3440
11290,14595,-3305,3305
7840,6039,1801,1801
392,1499,-1107,1107
15681,15263,418,418
,10712,,
282,533,-251,251
706,6899,-6193,6193
19130,19183,-53,53
2038,9312,-7274,7274
39201,37426,1775,1775
19444,16580,2864,2864
8467,21778,-13311,13311
10349,10424,-75,75
20228,23940,-3712,3712
200,15220,-15020,15020
8154,14699,-6545,6545
13485,20940,-7455,7455
19757,22306,-2549,2549
5018,11220,-6202,6202
470,3437,-2967,2967
6586,10731,-4145,4145
43576,44199,-623,623
13172,9081,4091,4091
9722,7991,1731,1731
7213,10564,-3351,3351
62057,55942,6115,6115
16308,16134,174,174
16590,13103,3487,3487
31675,28679,2996,2996
10663,9400,1263,1263
2200,4334,-2134,2134
5488,5930,-442,442
23521,19845,3676,3676
13485,16331,-2846,2846
941,29704,-28763,28763
7200,9098,-1898,1898
23521,10147,13374,13374
5645,7741,-2096,2096
10000,11640,-1640,1640
12544,7494,5050,5050
12544,12564,-20,20
33378,33954,-576,576
40142,35185,4957,4957
,25285,,
24148,16363,7785,7785
14636,14204,432,432
19444,26383,-6939,6939
2666,2046,620,620
45633,31848,13785,13785
4077,3155,922,922
39559,41704,-2145,2145
37633,42731,-5098,5098
89379,68607,20772,20772
1490,16431,-14941,14941
49858,33077,16781,16781
220,5766,-5546,5546
,1557,,
8006,10764,-2758,2758
6586,6937,-351,351
56450,71301,-14851,14851
5331,6099,-768,768
282,8388,-8106,8106
62719,42307,20412,20412
19757,15626,4131,4131
15681,11019,4662,4662
32929,29375,3554,3554
14454,19905,-5451,5451
19823,28570,-8747,8747
26770,25273,1497,1497
54405,50987,3418,3418
392,524,-132,132
12700,15638,-2938,2938
251,2194,-1943,1943
78403,66028,12375,12375
1882,2735,-853,853
28852,10964,17888,17888
21953,12441,9512,9512
11133,7197,3936,3936
12544,8631,3913,3913
42965,19161,23804,23804
53314,29539,23775,23775
7840,11618,-3778,3778
706,4323,-3617,3617
20500,3366,17134,17134
1646,18739,-17093,17093
15681,67776,-52095,52095
19500,17245,2255,2255
12544,21695,-9151,9151
3136,3085,51,51
19707,19136,571,571
34240,41102,-6862,6862
3,41616,-41613,41613
15400,15786,-386,386
10976,22365,-11389,11389
10000,19766,-9766,9766
17562,15939,1623,1623
47377,54569,-7192,7192
5645,10315,-4670,4670
7213,6714,499,499
68994,49958,19036,19036
81539,54730,26809,26809
5802,9625,-3823,3823
9095,10706,-1611,1611
5500,7871,-2371,2371
13495,18430,-4935,4935
24571,18443,6128,6128
15524,18823,-3299,3299
188,1232,-1044,1044
1646,2618,-972,972
,3023,,
15496,20224,-4728,4728
51746,29531,22215,22215
9700,7481,2219,2219
7997,3727,4270,4270
24283,28867,-4584,4584
5331,6629,-1298,1298
,3570,,
17054,21736,-4682,4682
1803,1557,246,246
5959,7310,-1351,1351
549,1642,-1093,1093
29169,35724,-6555,6555
35,13077,-13042,13042
13799,11912,1887,1887
7213,11221,-4008,4008
20228,13201,7027,7027
32929,25600,7329,7329
,18704,,
12231,10919,1312,1312
14113,8547,5566,5566
3607,2279,1328,1328
2700,3943,-1243,1243
6272,6283,-11,11
43868,53726,-9858,9858
17876,15151,2725,2725
7213,6967,246,246
1725,2951,-1226,1226
1411,2563,-1152,1152
3500,3385,115,115
157,4089,-3932,3932
,33879,,
17249,16342,907,907
29793,16251,13542,13542
17249,15197,2052,2052
36065,30448,5617,5617
30367,29211,1156,1156
470,5248,-4778,4778
3763,2953,810,810
21297,18038,3259,3259
39593,39336,257,257
314,3006,-2692,2692
68144,60893,7251,7251
15994,6031,9963,9963
1803,3541,-1738,1738
6899,6850,49,49
470,1973,-1503,1503
4704,4868,-164,164
23518,40765,-17247,17247
251,4268,-4017,4017
10036,6066,3970,3970
14113,27717,-13604,13604
20005,18217,1788,1788
8938,1439,7499,7499
14229,14179,50,50
8781,5533,3248,3248
15289,15903,-614,614
13485,26589,-13104,13104
50030,48273,1757,1757
7527,7013,514,514
17249,13167,4082,4082
9565,3930,5635,5635
21953,21400,553,553
3850,9606,-5756,5756
7213,5926,1287,1287
10976,9355,1621,1621
21953,28801,-6848,6848
16935,16678,257,257
6586,15001,-8415,8415
17876,16700,1176,1176
7840,11300,-3460,3460
200,11544,-11344,11344
7370,3513,3857,3857
29075,29469,-394,394
43880,47530,-3650,3650
392,1422,-1030,1030
31659,22958,8701,8701
8311,3350,4961,4961
11917,11923,-6,6
314,2443,-2129,2129
28909,30442,-1533,1533
2430,6349,-3919,3919
8467,14177,-5710,5710
15681,17461,-1780,1780
10697,11749,-1052,1052
27911,15337,12574,12574
19444,21982,-2538,2538
19883,18810,1073,1073
31361,38467,-7106,7106
2587,6296,-3709,3709
9722,12145,-2423,2423
13015,2967,10048,10048
7213,6967,246,246
,4103,,
1882,4094,-2212,2212
7213,6630,583,583
15681,13928,1753,1753
7840,9373,-1533,1533
26096,25459,637,637
46728,29704,17024,17024
,5970,,
11604,20572,-8968,8968
78403,80200,-1797,1797
5500,6381,-881,881
10669,8213,2456,2456
18817,16207,2610,2610
15681,13332,2349,2349
7370,9764,-2394,2394
34497,31688,2809,2809
26657,23100,3557,3557
8781,13562,-4781,4781
13495,16740,-3245,3245
13172,8768,4404,4404
41397,21197,20200,20200
5018,6557,-1539,1539
32302,18926,13376,13376
,3792,,
15681,6927,8754,8754
,46679,,
31988,60590,-28602,28602
15367,20093,-4726,4726
5645,4486,1159,1159
37006,32154,4852,4852
50,16873,-16823,16823
21639,17300,4339,4339
6586,6636,-50,50
44752,44101,651,651
7997,15848,-7851,7851
6272,11519,-5247,5247
21950,19672,2278,2278
18660,20926,-2266,2266
15681,17461,-1780,1780
1725,7597,-5872,5872
18817,15945,2872,2872
8467,9883,-1416,1416
784,3637,-2853,2853
706,3233,-2527,2527
30,8360,-8330,8330
38229,41182,-2953,2953
9722,6973,2749,2749
19444,15286,4158,4158
6500,7798,-1298,1298
11917,11796,121,121
23521,17233,6288,6288
,5370,,
20071,21073,-1002,1002
13799,25576,-11777,11777
10506,10651,-145,145
470,2638,-2168,2168
,32651,,
,9602,,
4200,4873,-673,673
20800,21075,-275,275
38163,41912,-3749,3749
188,3233,-3045,3045
314,2104,-1790,1790
68148,60845,7303,7303
3607,3143,464,464
13500,13431,69,69
,23193,,
6586,7373,-787,787
56450,36450,20000,20000
6899,7696,-797,797
34240,39953,-5713,5713
1411,2563,-1152,1152
15681,14547,1134,1134
,2797,,
18817,15639,3178,3178
13771,13481,290,290
5018,4144,874,874
3058,4227,-1169,1169
25089,21527,3562,3562
14113,15686,-1573,1573
12272,20567,-8295,8295
3293,4072,-779,779
10450,7211,3239,3239
38400,23373,15027,15027
8154,6739,1415,1415
17305,15732,1573,1573
3293,8367,-5074,5074
38809,35864,2945,2945
30405,17648,12757,12757
19444,16081,3363,3363
28225,21136,7089,7089
27284,27306,-22,22
18817,23366,-4549,4549
40224,43683,-3459,3459
18983,22147,-3164,3164
,29180,,
1568,3109,-1541,1541
16138,18159,-2021,2021
10349,5850,4499,4499
39750,46950,-7200,7200
1568,3694,-2126,2126
58507,38552,19955,19955
20385,19311,1074,1074
18189,14127,4062,4062
5959,5351,608,608
10349,8375,1974,1974
2900,6771,-3871,3871
19444,18776,668,668
706,6136,-5430,5430
94,2508,-2414,2414
392,1710,-1318,1318
94,12724,-12630,12630
11290,23406,-12116,12116
7527,8079,-552,552
17562,20371,-2809,2809
7840,7074,766,766
32929,13812,19117,19117
,19329,,
862,4748,-3886,3886
13015,12712,303,303
44500,44227,273,273
18240,18319,-79,79
68681,52667,16014,16014
56136,30449,25687,25687
43868,42921,947,947
24462,23056,1406,1406
470,2919,-2449,2449
10349,18192,-7843,7843
21012,16544,4468,4468
11604,13865,-2261,2261
7840,17253,-9413,9413
470,2638,-2168,2168
19757,13860,5897,5897
,17813,,
,3262,,
,13877,,
941,7275,-6334,6334
392,4338,-3946,3946
17249,19639,-2390,2390
8781,11711,-2930,2930
11917,10634,1283,1283
23414,27432,-4018,4018
1411,10173,-8762,8762
10976,16309,-5333,5333
9408,12336,-2928,2928
12858,7632,5226,5226
31047,2740,28307,28307
21326,20901,425,425
44517,48479,-3962,3962
35900,16427,19473,19473
27654,32160,-4506,4506
20005,18244,1761,1761
16935,17062,-127,127
220,1795,-1575,1575
9408,6915,2493,2493
3763,3420,343,343
125,4539,-4414,4414
16308,16045,263,263
26657,23931,2726,2726
22580,26212,-3632,3632
1568,2562,-994,994
16308,16154,154,154
49864,32058,17806,17806
13172,12175,997,997
15053,17472,-2419,2419
2430,4034,-1604,1604
9408,6999,2409,2409
14166,17771,-3605,3605
9408,22670,-13262,13262
36231,37311,-1080,1080
15367,6077,9290,9290
31,6345,-6314,6314
19444,17344,2100,2100
32973,24460,8513,8513
282,349,-67,67
57391,36960,20431,20431
2979,10784,-7805,7805
32615,30152,2463,2463
1490,5086,-3596,3596
39189,52400,-13211,13211
12388,2564,9824,9824
,16384,,
7683,4847,2836,2836
9408,10955,-1547,1547
14113,15267,-1154,1154
314,17126,-16812,16812
24681,22863,1818,1818
5865,6626,-761,761
26594,28332,-1738,1738
,8290,,
1019,4581,-3562,3562
11290,42713,-31423,31423
9832,13586,-3754,3754
11917,13337,-1420,1420
1882,2735,-853,853
18817,28362,-9545,9545
14897,17969,-3072,3072
28222,16750,11472,11472
20385,24241,-3856,3856
1411,2563,-1152,1152
16621,9530,7091,7091
3920,15219,-11299,11299
16621,20082,-3461,3461
30,1970,-1940,1940
37125,36277,848,848
14740,15697,-957,957
20005,22936,-2931,2931
35,13293,-13258,13258
43143,64081,-20938,20938
22580,19851,2729,2729
1098,1941,-843,843
49237,39926,9311,9311
18503,25834,-7331,7331
26030,24626,1404,1404
9722,9803,-81,81
27190,17801,9389,9389
13962,18807,-4845,4845
1098,1941,-843,843
24415,25000,-585,585
31988,60590,-28602,28602
7213,6022,1191,1191
6300,6633,-333,333
470,4102,-3632,3632
26657,27234,-577,577
,34935,,
392,3790,-3398,3398
54568,38169,16399,16399
470,23235,-22765,22765
5645,7073,-1428,1428
54568,40767,13801,13801
8377,15199,-6822,6822
11851,14200,-2349,2349
15063,16173,-1110,1110
18817,14451,4366,4366
,55173,,
14426,11265,3161,3161
10349,10349,0,0
2901,2994,-93,93
,16396,,
31361,16819,14542,14542
10976,9445,1531,1531
73698,27779,45919,45919
13956,13191,765,765
9565,6919,2646,2646
10000,17995,-7995,7995
,4235,,
,9618,,
35570,33704,1866,1866
3136,3085,51,51
43576,45582,-2006,2006
42000,24494,17506,17506
941,3358,-2417,2417
19121,18510,611,611
4077,5685,-1608,1608
24775,20583,4192,4192
15367,15277,90,90
14113,24023,-9910,9910
6743,9743,-3000,3000
5645,8017,-2372,2372
26971,29288,-2317,2317
25089,18609,6480,6480
15289,15861,-572,572
16308,16151,157,157
549,4325,-3776,3776
,10383,,
,1340,,
18817,23645,-4828,4828
22357,21132,1225,1225
13203,12126,1077,1077
33870,23447,10423,10423
17553,14225,3328,3328
10036,8835,1201,1201
2038,6927,-4889,4889
18033,20770,-2737,2737
20385,57675,-37290,37290
7213,7931,-718,718
7997,8064,-67,67
21953,17662,4291,4291
,15140,,
53941,42166,11775,11775
25889,21664,4225,4225
53521,46404,7117,7117
4391,8064,-3673,3673
6586,9646,-3060,3060
70562,71032,-470,470
30784,32300,-1516,1516
10663,15350,-4687,4687
4861,4775,86,86
,16335,,
18654,18201,453,453
53185,49778,3407,3407
9408,9865,-457,457
14740,17452,-2712,2712
63152,52490,10662,10662
1254,5475,-4221,4221
15681,15612,69,69
21103,25335,-4232,4232
10663,10929,-266,266
28225,10881,17344,17344
13485,19070,-5585,5585
14740,14000,740,740
3800,7939,-4139,4139
53872,50544,3328,3328
87811,58518,29293,29293
22580,17540,5040,5040
15367,13611,1756,1756
39201,28759,10442,10442
282,108395,-108113,108113
6586,6749,-163,163
549,1631,-1082,1082
11917,42713,-30796,30796
14069,18689,-4620,4620
941,6284,-5343,5343
20855,19523,1332,1332
18817,17120,1697,1697
21972,23384,-1412,1412
10349,9683,666,666
21918,49284,-27366,27366
9565,7803,1762,1762
9879,6200,3679,3679
1882,4094,-2212,2212
157,1144,-987,987
44003,49877,-5874,5874
7997,7296,701,701
862,1944,-1082,1082
17249,17302,-53,53
627,6426,-5799,5799
862,7751,-6889,6889
11290,7079,4211,4211
15035,15641,-606,606
9500,8864,636,636
188,1558,-1370,1370
21639,16738,4901,4901
25365,20111,5254,5254
8154,4926,3228,3228
14113,14624,-511,511
7213,8193,-980,980
10349,9943,406,406
10036,8481,1555,1555
15035,17556,-2521,2521
35338,31587,3751,3751
29777,44366,-14589,14589
44247,39063,5184,5184
7997,11442,-3445,3445
3763,5527,-1764,1764
15681,14135,1546,1546
2509,4660,-2151,2151
23521,31890,-8369,8369
125,2705,-2580,2580
1176,1800,-624,624
549,1277,-728,728
27284,26081,1203,1203
,10351,,
10663,9170,1493,1493
314,1376,-1062,1062
11447,15780,-4333,4333
10976,13436,-2460,2460
93769,164518,-70749,70749
43278,38935,4343,4343
5331,10078,-4747,4747
1568,4420,-2852,2852
41553,43961,-2408,2408
862,2873,-2011,2011
24123,22949,1174,1174
11992,10776,1216,1216
21953,16697,5256,5256
99440,43155,56285,56285
392,2497,-2105,2105
18817,21372,-2555,2555
314,6580,-6266,6266
7056,13850,-6794,6794
32302,31149,1153,1153
42551,39733,2818,2818
20266,20171,95,95
103491,61572,41919,41919
,7217,,
16778,17116,-338,338
20385,16947,3438,3438
17562,13989,3573,3573
100,7622,-7522,7522
35124,8933,26191,26191
,25222,,
2430,3895,-1465,1465
19707,19315,392,392
90,16735,-16645,16645
3450,5040,-1590,1590
,16429,,
314,2104,-1790,1790
21953,39624,-17671,17671
131716,64746,66970,66970
32929,33563,-634,634
11604,8523,3081,3081
,9231,,
7840,11515,-3675,3675
26030,18549,7481,7481
13877,16312,-2435,2435
22000,19708,2292,2292
470,3670,-3200,3200
549,8239,-7690,7690
47,4776,-4729,4729
157,17986,-17829,17829
,4544,,
16308,13025,3283,3283
39829,39117,712,712
6899,8328,-1429,1429
399,26319,-25920,25920
2979,4166,-1187,1187
549,4364,-3815,3815
1803,3541,-1738,1738
3800,12269,-8469,8469
16621,23560,-6939,6939
19444,10484,8960,8960
10036,15314,-5278,5278
314,1984,-1670,1670
13328,13117,211,211
5331,65118,-59787,59787
18817,21372,-2555,2555
22843,45121,-22278,22278
11290,13434,-2144,2144
1882,4094,-2212,2212
54255,38548,15707,15707
470,11423,-10953,10953
,9329,,
23521,9618,13903,13903
9095,8673,422,422
12544,9817,2727,2727
,17257,,
19757,7066,12691,12691
11604,12368,-764,764
83107,95003,-11896,11896
11917,21290,-9373,9373
2822,4714,-1892,1892
16935,21030,-4095,4095
4234,7413,-3179,3179
314,1459,-1145,1145
15681,16497,-816,816
10976,12127,-1151,1151
3607,3143,464,464
55515,55173,342,342
24148,17119,7029,7029
3000,3871,-871,871
,10679,,
,41366,,
23521,17928,5593,5593
10506,16467,-5961,5961
392,1524,-1132,1132
56340,54560,1780,1780
36567,40447,-3880,3880
4861,9234,-4373,4373
12074,15668,-3594,3594
14113,18392,-4279,4279
53787,73591,-19804,19804
12800,15424,-2624,2624
11290,13922,-2632,2632
392,16352,-15960,15960
13172,19300,-6128,6128
73633,87794,-14161,14161
7213,8426,-1213,1213
392,1422,-1030,1030
45473,20952,24521,24521
8781,6702,2079,2079
6272,5846,426,426
,22444,,
251,4733,-4482,4482
549,5613,-5064,5064
53314,73437,-20123,20123
,2654,,
56450,58204,-1754,1754
10635,10914,-279,279
8154,4640,3514,3514
15053,22471,-7418,7418
11917,9202,2715,2715
7840,6939,901,901
25716,45407,-19691,19691
,19864,,
45473,45250,223,223
8500,9200,-700,700
16621,16002,619,619
4391,4777,-386,386
43905,107160,-63255,63255
9879,4055,5824,5824
28755,37527,-8772,8772
15053,20296,-5243,5243
43592,17297,26295,26295
2000,10767,-8767,8767
39954,40855,-901,901
4391,8434,-4043,4043
23521,22009,1512,1512
14426,24550,-10124,10124
21953,20589,1364,1364
21326,14473,6853,6853
4861,3575,1286,1286
46728,29704,17024,17024
12544,15760,-3216,3216
1882,2735,-853,853
13485,9813,3672,3672
2000,5171,-3171,3171
8154,2933,5221,5221
14740,24398,-9658,9658
21326,15412,5914,5914
37125,36065,1060,1060
2901,3885,-984,984
470,5230,-4760,4760
31358,28916,2442,2442
12858,14403,-1545,1545
98066,70584,27482,27482
14856,19057,-4201,4201
188,1642,-1454,1454
21326,16546,4780,4780
5959,8616,-2657,2657
13962,16194,-2232,2232
19008,19381,-373,373
30000,18421,11579,11579
40634,50495,-9861,9861
,88287,,
282,3206,-2924,2924
1098,1941,-843,843
6899,6217,682,682
24462,26174,-1712,1712
6272,7881,-1609,1609
15521,17764,-2243,2243
104216,21744,82472,82472
9879,6200,3679,3679
8467,9278,-811,811
21639,27252,-5613,5613
251,5323,-5072,5072
6272,58378,-52106,52106
60831,60033,798,798
38063,36341,1722,1722
14740,13655,1085,1085
14113,23664,-9551,9551
46414,6108,40306,40306
43905,31147,12758,12758
627,24771,-24144,24144
